Symbol	Description
3LKS.SI	N508100v 130401
3LLS.SI	N708100s 150701
3UHS.SI	N509100n 141001
3UIS.SI	Nx09100w 190601
3UJS.SI	Ny09100h 240901
500.SI	Tai Sin Electric Limited
502.SI	Hsr Global Limited
504.SI	Klw Holdings Ltd
505.SI	Asiamedic Limited
508.SI	Fuji Offset Plates Mfg Ltd
510.SI	Hiap Seng Engineering Ltd
519.SI	Top Global Limited
526.SI	Hg Metal Manufacturing Ltd
528.SI	Second Chance Properties Ltd
529.SI	Food Junction Holdings Limited
530.SI	China Titanium Ltd.
532.SI	Equation Corp Limited
533.SI	Abr Holdings Limited
535.SI	Vibropower Corporation Limited
536.SI	Goldtron Limited
538.SI	Asj Holdings Ltd
539.SI	Cph Ltd
540.SI	Tung Lok Restaurants 2000 Ltd
541.SI	Craft Print International Ltd
542.SI	Giken Sakata (s) Limited
543.SI	Noel Gifts International Ltd
544.SI	Cse Global Ltd
545.SI	Vallianz Holdings Limited
546.SI	Medtecs International Corp Ltd
547.SI	Nobel Design Holdings Ltd
550.SI	Elite Ksb Holdings Limited
552.SI	Qian Hu Corporation Limited
554.SI	King Wan Corporation Limited
557.SI	Viking Offshore And Marine Ltd
558.SI	Ums Holdings Limited
560.SI	Aztech Group Ltd.
561.SI	Teckwah Industrial Corp Ltd
564.SI	Spindex Industries Limited
566.SI	See Hup Seng Limited
567.SI	Colex Holdings Limited
568.SI	Baker Technology Limited
569.SI	Vicplas International Ltd
570.SI	Transit-mixed Concrete Ltd
571.SI	International Press Softcom
573.SI	Challenger Technologies Ltd
574.SI	Tsh Corporation Limited
575.SI	Asti Holdings Limited
576.SI	Magnus Energy Group Ltd.
578.SI	Ks Energy Limited
579.SI	Oceanus Group Limited
580.SI	Santak Holdings Limited
581.SI	Ite Electric Co Ltd
583.SI	Progen Holdings Ltd
584.SI	Oakwell Engineering Limited
585.SI	Asian Micro Holdings Ltd
586.SI	Tmc Education Corporation Ltd
587.SI	Lereno Bio-chem Ltd.
588.SI	Health Management Intl Ltd
591.SI	Innovalues Limited
593.SI	Lee Metal Group Ltd
594.SI	Loyz Energy Limited
595.SI	Van Der Horst Energy Limited
596.SI	Thai Village Holdings Ltd
5AB.SI	Trek 2000 Int'l Ltd
5AC.SI	Nh Ceramics Ltd
5AE.SI	Pollux Properties Ltd.
5AI.SI	Sunlight Group Hldg Ltd
5AL.SI	Annica Holdings Limited
5AM.SI	Asiatravel.com Holdings Ltd
5AU.SI	Ap Oil International Limited
5BA.SI	Vashion Group Ltd.
5BI.SI	Carriernet Global Ltd
5BK.SI	Koda Ltd
5BM.SI	Mfs Technology Ltd
5BS.SI	Pne Micron Holdings Ltd
5BT.SI	Moya Asia Limited
5CB.SI	Darco Water Technologies Ltd
5CE.SI	Singxpress Land Ltd.
5CF.SI	Okp Holdings Limited
5CH.SI	Dmx Technologies Group Ltd
5CJ.SI	Chinese Global Investors Grp
5CN.SI	Sinwa Limited
5CP.SI	Silverlake Axis Ltd
5CQ.SI	Technics Oil & Gas Limited
5CR.SI	Asiatic Group (holdings) Ltd
5CS.SI	Infinio Group Limited
5CT.SI	Ecowise Holdings Limited
5DA.SI	Breadtalk Group Limited
5DD.SI	Micro-mechanics (holdings) Ltd
5DE.SI	Ems Energy Limited
5DL.SI	Koon Holdings Limited
5DM.SI	Ying Li Intl Real Estate Ltd
5DN.SI	Ezra Holdings Limited
5DO.SI	Sakae Holdings Ltd.
5DP.SI	Heeton Holdings Limited
5DS.SI	Megachem Limited
5DT.SI	Bright Orient (holding) Ltd.
5DW.SI	Renewable Energy Asia Grp Ltd
5DX.SI	Metal Component Engg Ltd
5EB.SI	Cfm Holdings Limited
5EC.SI	Asiasons Wfg Financial Ltd.
5EF.SI	Adventus Holdings Limited
5EG.SI	New Lakeside Holdings Limited
5EK.SI	Armarda Group Limited
5EL.SI	Lasseters Intl Holdings Ltd
5EN.SI	Midas Hldgs Limited
5ER.SI	Best World International Ltd
5ET.SI	Asiasons Capital Limited
5EV.SI	Hosen Group Ltd
5EW.SI	Pan Asian Holdings Limited
5FA.SI	Jep Holdings Ltd.
5FD.SI	Swissco Holdings Limited
5FF.SI	Medi-flex Limited
5FH.SI	Advance Sct Limited
5FI.SI	Oriental Food (holdings) Ltd.
5FL.SI	Falcon Energy Group Limited
5FQ.SI	Select Group Limited
5FR.SI	Etika International Hldgs Ltd
5FU.SI	Hartawan Hldgs Ltd
5FW.SI	Linair Technologies Limited
